Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
5608.6,snapshot_41.png,2037794,61.1147,26.5035,123.09,80.8466,0.275014,1.50682
5745.15,snapshot_42.png,2037808,20.6937,33.7969,124.675,76.0306,0.725093,1.64858
5879.17,snapshot_43.png,2037821,-17.9386,43.4479,125.424,76.0786,0.862304,1.54331
6007.88,snapshot_44.png,2037830,-44.827,50.274,125.758,76.2157,0.987556,1.60304
6142.719999999999,snapshot_45.png,2037841,-78.3101,58.3669,126.284,76.3734,1.0582,1.55193
6272.37,snapshot_46.png,2037851,-108.527,66.0875,127.164,76.6716,1.07011,1.52107
6405.12,snapshot_47.png,2037871,-163.097,85.038,128.567,65.1418,0.848286,1.78706
6545.26,snapshot_48.png,2037882,-194.781,99.8996,129.106,64.3385,0.864497,1.56233
6678.92,snapshot_49.png,2037892,-223.258,113.586,129.664,64.4279,1.06382,1.73869
6808.62,snapshot_50.png,2037912,-281.381,142.313,130.818,64.679,0.577447,1.93082
6945.37,snapshot_51.png,2037928,-328.433,165.619,131.768,64.9207,0.465496,1.84082
7078.7300000000005,snapshot_52.png,2037941,-366.714,183.78,132.236,65.2179,0.462721,1.93468
7211.2,snapshot_53.png,2037954,-405.026,202.029,133.092,65.4536,0.348468,1.98154
7343.009999999999,snapshot_54.png,2037967,-443.501,220.746,134.249,65.3957,0.670202,1.62156
7478.33,snapshot_55.png,2037981,-485.227,240.266,134.79,64.525,0.695331,1.65405
7610.87,snapshot_56.png,2037994,-518.453,257.714,134.799,58.1563,1.03113,1.34292
7742.79,snapshot_57.png,2038007,-552.913,281.275,136.717,57.0811,0.860032,2.1889
7879.01,snapshot_58.png,2038021,-592.767,305.229,135.978,58.6621,0.771022,1.28387
8008.900000000001,snapshot_59.png,2038034,-630.142,327.336,135.056,59.5987,0.44855,0.377952
8142.289999999999,snapshot_60.png,2038047,-665.768,351.632,138.124,59.1989,1.15372,2.13879
8279.08,snapshot_61.png,2038061,-705.328,376.527,139.814,58.0539,1.41755,2.28366
8412.61,snapshot_62.png,2038074,-742.758,400.189,140.202,59.0732,0.981986,2.42382
8552.07,snapshot_63.png,2038088,-784.037,424.468,140.68,59.3386,0.94341,1.88911
8682.029999999999,snapshot_64.png,2038101,-820.682,447.736,141.452,59.2613,0.565309,2.78703
8811.65,snapshot_65.png,2038114,-858.333,470.708,142.05,59.6427,0.568846,2.51352
8946.72,snapshot_66.png,2038128,-898.021,494.418,143.081,59.9673,0.757952,2.5404
9076.75,snapshot_67.png,2038141,-936.2,517.101,143.548,60.1514,0.270453,2.81791
9209.15,snapshot_68.png,2038154,-972.17,539.439,144.967,60.1315,0.829333,2.81125
9348.710000000001,snapshot_69.png,2038168,-1013.86,561.04,145.793,63.8554,0.874735,2.61239
9479.11,snapshot_70.png,2038181,-1053.2,580.225,146.316,64.4085,0.697864,2.67832
9608.63,snapshot_71.png,2038194,-1091.78,599.376,147.268,64.4207,0.847164,2.31219
9749.15,snapshot_72.png,2038208,-1136.43,618.378,148.064,69.0451,0.578887,2.75945
9882.75,snapshot_73.png,2038221,-1177.5,631.236,148.699,79.4451,0.287455,2.51771
10015.599999999999,snapshot_74.png,2038230,-1207.68,636.325,150.001,82.1473,-0.177206,2.67939
10148.7,snapshot_75.png,2038240,-1241.7,642.594,149.935,81.6309,0.342591,2.49367
10276.9,snapshot_76.png,2038250,-1274.82,648.104,150.867,81.9033,0.288868,2.26346
10415.300000000001,snapshot_77.png,2038271,-1331.3,656.589,151.749,82.1126,0.418307,2.37051
10547.1,snapshot_78.png,2038281,-1354.7,660.32,152.107,82.086,0.722367,2.41428
10679.6,snapshot_79.png,2038291,-1377.67,663.741,152.732,81.9012,0.901172,2.47822
10813.0,snapshot_80.png,2038312,-1424.46,671.216,153.286,81.787,1.25611,2.35294
10949.1,snapshot_81.png,2038328,-1460.11,675.952,153.66,82.4736,0.25838,2.20493
11084.4,snapshot_82.png,2038342,-1491.85,679.52,155.079,87.2556,-0.452812,2.58209
11212.6,snapshot_83.png,2038354,-1520.9,683.016,151.69,87.1886,0.137533,0.0069606
11345.2,snapshot_84.png,2038368,-1553.92,684.582,152.245,87.3559,0.291427,-0.107603
11482.300000000001,snapshot_85.png,2038381,-1584.28,685.971,152.792,87.4411,0.2151,-0.021081
11615.0,snapshot_86.png,2038395,-1616.53,686.429,156.697,89.2898,0.173896,2.35324
11746.7,snapshot_87.png,2038408,-1646.73,688.101,154.155,97.4714,0.433177,0.0987766
11884.1,snapshot_88.png,2038422,-1680.94,683.674,154.421,99.5049,0.574935,-0.14231
12012.6,snapshot_89.png,2038424,-1685.76,682.832,154.34,99.5896,0.579837,-0.188316
12153.0,snapshot_90.png,2038445,-1736.23,674.777,155.33,99.7546,0.598353,-0.313859
12282.8,snapshot_91.png,2038455,-1762.93,668.84,159.603,101.077,-0.235909,2.51097
12412.5,snapshot_92.png,2038465,-1791.21,663.371,160.124,101.338,-0.024828,2.13387
12543.900000000001,snapshot_93.png,2038486,-1854.37,643.453,161.759,113.609,-2.22667,2.02258
12685.2,snapshot_94.png,2038496,-1882.67,632.687,161.558,114.233,-2.0994,1.83216
12816.800000000001,snapshot_95.png,2038506,-1911.03,622.205,161.439,114.016,-0.270675,2.25333
12950.900000000001,snapshot_96.png,2038528,-1973.58,598.336,158.021,112.83,1.26808,-0.109346
13080.5,snapshot_97.png,2038541,-2009.32,581.464,161.636,114.424,-1.26823,2.29508
13216.2,snapshot_98.png,2038555,-2047.23,565.525,162.349,114.403,-1.86158,2.59075
13351.699999999999,snapshot_99.png,2038568,-2081.96,548.809,162.394,120.331,-1.95441,2.16646
13483.3,snapshot_100.png,2038581,-2114.7,526.882,163.974,127.633,-1.8258,2.35337
13620.8,snapshot_101.png,2038595,-2150.86,500.492,164.008,128.8,-1.26258,2.1043
13750.3,snapshot_102.png,2038608,-2180.4,477.565,165.178,128.968,-1.54718,2.21369
13882.7,snapshot_103.png,2038621,-2212.77,453.922,164.859,129.058,-1.1455,2.3176
14016.7,snapshot_104.png,2038629,-2229.83,439.698,165.965,129.094,-1.02066,2.35815
14149.0,snapshot_105.png,2038639,-2252.26,421.606,166.409,129.042,-0.371548,2.26825
14280.699999999999,snapshot_106.png,2038660,-2300.32,383.606,165.546,129.064,1.15555,0.563773
14419.2,snapshot_107.png,2038670,-2323.99,365.424,165.879,128.794,1.22376,0.565547
14552.0,snapshot_108.png,2038680,-2347.36,346.881,166.487,129.159,1.16529,0.561478
14680.7,snapshot_109.png,2038691,-2372.36,323.702,166.703,137.085,1.23897,0.911323
14817.0,snapshot_110.png,2038711,-2411.56,272.478,167.322,147.48,1.32595,1.24544
14953.699999999999,snapshot_111.png,2038728,-2438.03,230.831,167.585,148.12,1.2354,0.833809
15087.199999999999,snapshot_112.png,2038742,-2457.07,201.658,167.9,148.308,1.39365,1.15038
15220.2,snapshot_113.png,2038755,-2473.44,175.392,168.015,148.368,1.35886,1.16299
15348.3,snapshot_114.png,2038768,-2489.39,148.898,168.549,148.638,1.38915,1.27715
15486.9,snapshot_115.png,2038782,-2507.11,121.221,168.592,148.645,1.4319,1.22084
15619.9,snapshot_116.png,2038795,-2522.56,95.9936,168.933,148.699,1.18816,1.42652
15751.099999999999,snapshot_117.png,2038808,-2538.71,70.879,169.247,148.587,1.34107,1.21602
15884.9,snapshot_118.png,2038821,-2553.46,43.4555,169.364,153.239,1.28924,1.4448
16021.1,snapshot_119.png,2038834,-2568.54,16.3624,169.975,159.549,1.17285,1.4812
16154.0,snapshot_120.png,2038844,-2577.03,-5.24337,169.728,161.637,1.23087,1.43906
16287.400000000001,snapshot_121.png,2038854,-2582.16,-28.9056,170.134,168.234,0.842745,2.00253
16419.399999999998,snapshot_122.png,2038865,-2587.44,-55.2674,170.252,172.848,0.722247,1.74293
16548.7,snapshot_123.png,2038885,-2588.88,-106.209,169.852,-176.627,0.737809,1.30038
16687.0,snapshot_124.png,2038895,-2587.49,-129.932,170.214,-176.291,0.492046,1.66424
16821.2,snapshot_125.png,2038906,-2585.78,-155.546,170.303,-176.076,0.496263,1.73469
16955.300000000003,snapshot_126.png,2038929,-2581.64,-208.436,171.107,-176.117,0.3312,2.31743
17084.9,snapshot_127.png,2038941,-2579.02,-236.4,171.731,-175.736,0.153394,2.55911
17217.4,snapshot_128.png,2038955,-2500.94,-171.939,161.153,-51.0975,-9.36662,4.35966
17355.2,snapshot_129.png,2038969,-2499.79,-204.866,159.428,-50.9,-10.8549,5.03749
